User_Id,Place_Id,Place_Ratings,Place_Name,Category,City,Price,Rating,Time_Minutes,Lat,Long,Location,Age
1,179,3,Candi Ratu Boko,Budaya,Yogyakarta,75000,4.6,90.0,-7.7705416,110.4894158,"Semarang, Jawa Tengah",20
1,344,2,Pantai Marina,Bahari,Semarang,3000,4.1,,-6.948877,110.3893285,"Semarang, Jawa Tengah",20
1,5,5,Atlantis Water Adventure,Taman Hiburan,Jakarta,94000,4.5,60.0,-6.12419,106.839134,"Semarang, Jawa Tengah",20
1,373,3,Museum Kereta Ambarawa,Budaya,Semarang,10000,4.5,60.0,-7.2645989,110.4046017,"Semarang, Jawa Tengah",20
1,101,4,Kampung Wisata Sosro Menduran,Budaya,Yogyakarta,0,4.0,,-7.79219,110.362151,"Semarang, Jawa Tengah",20
1,312,2,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5,90.0,-6.8585841,107.6306089,"Semarang, Jawa Tengah",20
1,258,5,Museum Gedung Sate,Budaya,Bandung,5000,4.6,,-6.9026379,107.619169,"Semarang, Jawa Tengah",20
1,20,4,Museum Taman Prasasti,Budaya,Jakarta,2000,4.5,90.0,-6.1722241,106.8189695,"Semarang, Jawa Tengah",20
1,154,2,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,10000,4.5,,-8.1333389,110.5537405,"Semarang, Jawa Tengah",20
1,393,5,Taman Harmoni Keputih,Cagar Alam,Surabaya,0,4.4,60.0,-7.2952211,112.8035603,"Semarang, Jawa Tengah",20
1,103,3,Tugu Pal Putih Jogja,Taman Hiburan,Yogyakarta,0,4.7,15.0,-7.7829437,110.3670548,"Semarang, Jawa Tengah",20
1,208,5,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6,150.0,-7.7628136,110.1161626,"Semarang, Jawa Tengah",20
1,89,3,De Mata Museum Jogja,Budaya,Yogyakarta,50000,4.4,,-7.8163156,110.3871442,"Semarang, Jawa Tengah",20
1,405,5,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4,,-7.1968193,112.7324578,"Semarang, Jawa Tengah",20
1,41,5,Museum Bahari Jakarta,Budaya,Jakarta,2000,4.4,120.0,-6.1269553,106.8085899,"Semarang, Jawa Tengah",20
1,336,4,Grand Maerakaca,Taman Hiburan,Semarang,15000,4.4,,-6.9605225,110.3863941,"Semarang, Jawa Tengah",20
1,67,4,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2,15.0,-6.1160075,106.7692016,"Semarang, Jawa Tengah",20
1,292,3,Curug Anom,Cagar Alam,Bandung,0,4.6,,-6.8116009,107.5695213,"Semarang, Jawa Tengah",20
1,222,3,Museum Konferensi Asia Afrika,Budaya,Bandung,0,4.6,60.0,-6.9211092,107.609597,"Semarang, Jawa Tengah",20
1,76,2,Taman Cattleya,Taman Hiburan,Jakarta,20000,4.5,,-6.1810843,106.7954476,"Semarang, Jawa Tengah",20
1,428,3,Monumen Bambu Runcing Surabaya,Budaya,Surabaya,0,4.6,15.0,-7.2677755,112.7443898,"Semarang, Jawa Tengah",20
1,15,3,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4,90.0,-6.1766868,106.8417666,"Semarang, Jawa Tengah",20
1,246,4,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,10000,4.4,120.0,-6.7905692,107.5826388,"Semarang, Jawa Tengah",20
1,265,5,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,0,4.4,60.0,-6.9173405,107.6112627,"Semarang, Jawa Tengah",20
1,21,2,Museum Wayang,Budaya,Jakarta,5000,4.5,150.0,-6.1349072,106.8124452,"Semarang, Jawa Tengah",20
1,328,2,Gua Pawon,Cagar Alam,Bandung,10000,4.5,90.0,-6.8231833,107.4371655,"Semarang, Jawa Tengah",20
1,307,4,Perkebunan Teh Malabar,Cagar Alam,Bandung,5000,4.4,,-7.2274463,107.6050805,"Semarang, Jawa Tengah",20
1,302,2,Masjid Pusdai,Tempat Ibadah,Bandung,0,4.7,,-6.9000672,107.62587,"Semarang, Jawa Tengah",20
1,48,2,Taman Ismail Marzuki,Budaya,Jakarta,5000,4.6,,-6.1891586,106.8397738,"Semarang, Jawa Tengah",20
1,328,2,Gua Pawon,Cagar Alam,Bandung,10000,4.5,90.0,-6.8231833,107.4371655,"Semarang, Jawa Tengah",20
2,147,2,Bentara Budaya Yogyakarta (BBY),Budaya,Yogyakarta,0,4.5,,-7.7857242,110.3746954,"Bekasi, Jawa Barat",21
2,2,5,Kota Tua,Budaya,Jakarta,0,4.6,90.0,-6.1376448,106.8171245,"Bekasi, Jawa Barat",21
2,322,4,Bukit Jamur,Cagar Alam,Bandung,0,4.2,,-7.1951102,107.4312811,"Bekasi, Jawa Barat",21
2,23,3,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8,,-6.169225,106.833063,"Bekasi, Jawa Barat",21
2,85,4,Taman Pintar Yogyakarta,Taman Hiburan,Yogyakarta,6000,4.5,120.0,-7.8006715,110.3676551,"Bekasi, Jawa Barat",21
2,371,3,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3,90.0,-7.2531096,110.4264512,"Bekasi, Jawa Barat",21
2,78,5,Hutan Kota Srengseng,Taman Hiburan,Jakarta,1000,4.3,,-6.2106945,106.7643954,"Bekasi, Jawa Barat",21
2,111,2,Puncak Pinus Becici,Taman Hiburan,Yogyakarta,3000,4.5,,-7.9020355,110.4374627,"Bekasi, Jawa Barat",21
2,107,2,Bangsal Pagelaran,Budaya,Yogyakarta,5000,4.6,,-7.8052843,110.3642137,"Bekasi, Jawa Barat",21
2,185,2,Pantai Krakal,Bahari,Yogyakarta,10000,4.5,,-8.145019,110.5998857,"Bekasi, Jawa Barat",21
2,413,3,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5,,-7.227185,112.718997,"Bekasi, Jawa Barat",21
2,389,2,Brown Canyon,Cagar Alam,Semarang,0,4.2,30.0,-7.0565164,110.4862531,"Bekasi, Jawa Barat",21
2,437,5,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,,-7.2420758,112.7368158,"Bekasi, Jawa Barat",21
2,105,2,Candi Donotirto,Budaya,Yogyakarta,0,4.4,25.0,-7.7955613,110.3612095,"Bekasi, Jawa Barat",21
2,176,3,Museum Gunung Merapi,Budaya,Yogyakarta,10000,4.4,60.0,-7.6159272,110.4243329,"Bekasi, Jawa Barat",21
2,407,5,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,0,4.5,45.0,-7.2573072,112.7437199,"Bekasi, Jawa Barat",21
2,208,5,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6,150.0,-7.7628136,110.1161626,"Bekasi, Jawa Barat",21
2,437,4,Gereja Perawan Maria Tak Berdosa Surabaya,Tempat Ibadah,Surabaya,10000,4.8,,-7.2420758,112.7368158,"Bekasi, Jawa Barat",21
2,208,3,Taman Sungai Mudal,Cagar Alam,Yogyakarta,10000,4.6,150.0,-7.7628136,110.1161626,"Bekasi, Jawa Barat",21
2,281,2,Tektona Waterpark,Taman Hiburan,Bandung,60000,3.8,,-7.0096022,107.6062161,"Bekasi, Jawa Barat",21
2,167,2,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,4.5,60.0,-7.974294,110.4364363,"Bekasi, Jawa Barat",21
2,384,5,Kampung Tematik Jawi,Budaya,Semarang,0,4.5,90.0,-7.0290974,110.3775382,"Bekasi, Jawa Barat",21
2,426,4,Balai Kota Surabaya,Budaya,Surabaya,0,4.7,60.0,-7.2592948,112.7470512,"Bekasi, Jawa Barat",21
2,390,2,Durian Gardens and Tourism Education Watu Simbar,Cagar Alam,Semarang,5000,4.1,45.0,-7.0967079,110.3900517,"Bekasi, Jawa Barat",21
2,367,2,Wisata Lereng Kelir,Cagar Alam,Semarang,7000,4.3,,-7.3126613,110.3746785,"Bekasi, Jawa Barat",21
2,166,2,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,4.5,,-7.647054,110.1414699,"Bekasi, Jawa Barat",21
2,18,5,Museum Bank Indonesia,Budaya,Jakarta,2000,4.7,,-6.137127,106.813005,"Bekasi, Jawa Barat",21
2,321,3,Glamping Lakeside Rancabali,Taman Hiburan,Bandung,30000,4.4,,-7.1675908,107.3532419,"Bekasi, Jawa Barat",21
2,262,3,Wot Batu,Cagar Alam,Bandung,50000,4.7,,-6.8597013,107.6360983,"Bekasi, Jawa Barat",21
